transaction_id,user_id,amount,transaction_type,location,timestamp,flagged_alert
1,4174,260.63,Online Purchase,Tijuana,2024-01-01 00:00:00,0
2,4507,373.78,Wire Transfer,Mexico City,2024-01-01 01:00:00,0
3,1860,2020.34,ATM Withdrawal,Monterrey,2024-01-01 02:00:00,0
4,2294,1483.5,POS Payment,Monterrey,2024-01-01 03:00:00,0
5,2130,1169.6,POS Payment,Cancun,2024-01-01 04:00:00,0
6,2095,1412.21,Online Purchase,Cancun,2024-01-01 05:00:00,0
7,4772,4019.38,POS Payment,Guadalajara,2024-01-01 06:00:00,1
8,4092,4646.85,Online Purchase,Tijuana,2024-01-01 07:00:00,1
9,2638,2031.46,Online Purchase,Mexico City,2024-01-01 08:00:00,1
10,3169,4531.49,ATM Withdrawal,Mexico City,2024-01-01 09:00:00,1
11,1466,1614.26,Online Purchase,Monterrey,2024-01-01 10:00:00,0
12,2238,2387.42,Wire Transfer,Mexico City,2024-01-01 11:00:00,0
13,1330,1137.88,Online Purchase,Monterrey,2024-01-01 12:00:00,0
14,2482,3205.98,Online Purchase,Tijuana,2024-01-01 13:00:00,1
15,3135,4895.12,ATM Withdrawal,Mexico City,2024-01-01 14:00:00,0
16,4444,3021.43,Wire Transfer,Monterrey,2024-01-01 15:00:00,0
17,4171,1795.49,POS Payment,Tijuana,2024-01-01 16:00:00,0
18,3919,3242.61,Wire Transfer,Tijuana,2024-01-01 17:00:00,0
19,4735,623.37,Wire Transfer,Monterrey,2024-01-01 18:00:00,0
20,1130,4444.41,Online Purchase,Monterrey,2024-01-01 19:00:00,1
21,2685,2520.39,Online Purchase,Guadalajara,2024-01-01 20:00:00,0
22,4380,2252.26,Online Purchase,Tijuana,2024-01-01 21:00:00,0
23,1769,2933.47,ATM Withdrawal,Monterrey,2024-01-01 22:00:00,0
24,3391,3127.67,Wire Transfer,Tijuana,2024-01-01 23:00:00,0
25,2515,368.16,ATM Withdrawal,Mexico City,2024-01-02 00:00:00,1
26,4485,3416.26,Wire Transfer,Cancun,2024-01-02 01:00:00,0
27,3853,1217.24,ATM Withdrawal,Cancun,2024-01-02 02:00:00,1
28,3433,3572.62,Online Purchase,Monterrey,2024-01-02 03:00:00,0
29,2215,4114.45,Online Purchase,Monterrey,2024-01-02 04:00:00,1
30,1955,4021.75,POS Payment,Tijuana,2024-01-02 05:00:00,1
31,3324,2766.98,Wire Transfer,Monterrey,2024-01-02 06:00:00,0
32,2184,2605.65,POS Payment,Tijuana,2024-01-02 07:00:00,0
33,1459,722.95,Online Purchase,Monterrey,2024-01-02 08:00:00,1
34,4385,3878.98,POS Payment,Tijuana,2024-01-02 09:00:00,0
35,1021,1364.33,Online Purchase,Monterrey,2024-01-02 10:00:00,0
36,3300,2488.51,Online Purchase,Guadalajara,2024-01-02 11:00:00,0
37,1747,1428.53,POS Payment,Tijuana,2024-01-02 12:00:00,0
38,3904,677.8,Online Purchase,Guadalajara,2024-01-02 13:00:00,0
39,4632,3151.49,Wire Transfer,Guadalajara,2024-01-02 14:00:00,0
40,1474,281.12,Online Purchase,Guadalajara,2024-01-02 15:00:00,0
41,2082,3745.74,ATM Withdrawal,Guadalajara,2024-01-02 16:00:00,0
42,3558,1594.76,POS Payment,Mexico City,2024-01-02 17:00:00,0
